discipline,rank,docs,cites,cites_per_paper,top_papers
CHEMISTRY,90,5420,164390,30.33,157
MATHEMATICS,115,2019,11984,5.94,22
ENVIRONMENT ECOLOGY,130,2941,92088,31.31,101
MATERIALS SCIENCE,196,2720,93969,34.55,57
COMPUTER SCIENCE,207,1803,22336,12.39,25
GEOSCIENCES,275,1850,42158,22.79,38
SOCIAL SCIENCES  GENERAL,314,2176,27524,12.65,51
ENGINEERING,317,2567,55450,21.6,86
PLANT   ANIMAL SCIENCE,395,1375,21843,15.89,26
PSYCHIATRY PSYCHOLOGY,467,1460,15243,10.44,7
PHYSICS,522,3495,50802,14.54,47
BIOLOGY   BIOCHEMISTRY,721,897,20837,23.23,18
AGRICULTURAL SCIENCES,845,346,6513,18.82,4
NEUROSCIENCE   BEHAVIOR,853,771,14295,18.54,7
MOLECULAR BIOLOGY   GENETICS,867,532,20568,38.66,6
PHARMACOLOGY   TOXICOLOGY,1064,289,5693,19.7,5
CLINICAL MEDICINE,2852,940,16875,17.95,12
