subject,n_samples,mae_test
AGRICULTURAL SCIENCES,1381,3.555972777
BIOLOGY & BIOCHEMISTRY,1649,5.347971121
CHEMISTRY,2141,7.669568399
CLINICAL MEDICINE,6754,9.966630841
COMPUTER SCIENCE,863,5.060224924
ECONOMICS & BUSINESS,543,6.004887919
ENGINEERING,2787,7.137490748
ENVIRONMENT ECOLOGY,2066,4.990156963
GEOSCIENCES,1175,7.313685067
IMMUNOLOGY,1177,3.409178944
MATERIALS SCIENCE,1580,6.623275639
MATHEMATICS,395,8.982382462
MICROBIOLOGY,803,3.196471082
MOLECULAR BIOLOGY & GENETICS,1169,6.25256898
MULTIDISCIPLINARY,216,1.318314292
NEUROSCIENCE & BEHAVIOR,1298,5.27982642
PHARMACOLOGY & TOXICOLOGY,1389,3.139676259
PHYSICS,995,13.80468022
PLANT & ANIMAL SCIENCE,1950,5.012913936
PSYCHIATRY PSYCHOLOGY,1147,5.438653207
"SOCIAL SCIENCES, GENERAL",2407,4.62206516
SPACE SCIENCE,236,18.91297972
